th	3.5562034
he	3.0747412
in	2.4327453
er	2.0482648
an	1.9851511
re	1.8543232
on	1.7580464
at	1.4867323
en	1.4542485
nd	1.3522814
ti	1.3425788
es	1.3393938
or	1.2765391
te	1.2048696
of	1.1749753
ed	1.1681234
is	1.1284299
it	1.1232737
al	1.0874495
ar	1.0748985
st	1.0534757
to	1.0412665
nt	1.0412512
ng	0.9530148
se	0.9321146
ha	0.9257636
as	0.8710951
ou	0.8700023
io	0.8349319
le	0.8292542
ve	0.8252806
co	0.7938597
me	0.7930065
de	0.7648184
hi	0.7632418
ri	0.7276189
ro	0.7267244
ic	0.6987075
ne	0.6917223
ea	0.6881653
ra	0.6856330
ce	0.6514174
li	0.6243522
ch	0.5977660
ll	0.5765711
be	0.5762837
ma	0.5652693
si	0.5500572
om	0.5462569
ur	0.5427478
ca	0.5381641
el	0.5303016
ta	0.5298861
la	0.5275294
ns	0.5089375
di	0.4929664
fo	0.4877536
ho	0.4849021
pe	0.4779892
ec	0.4772827
pr	0.4744709
no	0.4645750
ct	0.4609718
us	0.4542571
ac	0.4477722
ot	0.4421033
il	0.4315346
tr	0.4258202
ly	0.4250135
nc	0.4157458
et	0.4126082
ut	0.4051513
ss	0.4050752
so	0.3977322
rs	0.3965273
un	0.3944130
lo	0.3868842
wa	0.3853371
ge	0.3851895
ie	0.3846464
wh	0.3787934
ee	0.3776054
wi	0.3744207
em	0.3736636
ad	0.3679564
ol	0.3654926
rt	0.3616764
po	0.3613732
we	0.3608992
na	0.3472350
ul	0.3458295
ni	0.3392125
ts	0.3374882
mo	0.3368776
ow	0.3304780
pa	0.3235725
im	0.3177599
mi	0.3176914
ai	0.3164478
sh	0.3152400
ir	0.3151724
su	0.3111765
id	0.2955039
os	0.2899668
iv	0.2878482
ia	0.2862824
am	0.2848660
fi	0.2845856
ci	0.2814848
vi	0.2695443
pl	0.2629871
ig	0.2549614
tu	0.2549067
ev	0.2547837
ld	0.2526064
ry	0.2477401
mp	0.2391752
fe	0.2365732
bl	0.2334002
ab	0.2297864
gh	0.2275034
ty	0.2272771
op	0.2239111
wo	0.2217543
sa	0.2180174
ay	0.2173608
ex	0.2140446
ke	0.2137680
fr	0.2131886
oo	0.2102592
av	0.2049326
ag	0.2047249
if	0.2032565
ap	0.2028459
gr	0.1967779
od	0.1954494
bo	0.1954105
sp	0.1912542
rd	0.1893164
do	0.1882350
uc	0.1876523
bu	0.1849442
ei	0.1833517
ov	0.1780865
by	0.1764684
rm	0.1751329
ep	0.1715737
tt	0.1706833
oc	0.1664051
fa	0.1639998
ef	0.1627321
cu	0.1626140
rn	0.1603611
sc	0.1547494
gi	0.1516366
da	0.1510674
yo	0.1499016
cr	0.1494558
cl	0.1490114
du	0.1484608
ga	0.1480771
qu	0.1475413
ue	0.1474803
ff	0.1463166
ba	0.1462045
ey	0.1437457
ls	0.1415135
va	0.1399801
um	0.1383826
pp	0.1365456
ua	0.1363333
up	0.1360125
lu	0.1351894
go	0.1321278
ht	0.1301859
ru	0.1283288
ug	0.1279076
ds	0.1262607
lt	0.1236371
pi	0.1230941
rc	0.1213866
rr	0.1207431
eg	0.1195361
au	0.1190328
ck	0.1176261
ew	0.1168058
mu	0.1146185
br	0.1115599
bi	0.1065971
pt	0.1057821
ak	0.1046993
pu	0.1045402
ui	0.1011533
rg	0.0997735
ib	0.0986029
tl	0.0984492
ny	0.0979174
ki	0.0978784
rk	0.0970343
ys	0.0968323
ob	0.0966708
mm	0.0960690
fu	0.0959749
ph	0.0943900
og	0.0940242
ms	0.0928332
ye	0.0926686
ud	0.0914015
mb	0.0902555
ip	0.0892112
ub	0.0885803
oi	0.0877507
rl	0.0862647
gu	0.0857695
dr	0.0854499
hr	0.0843925
cc	0.0831383
tw	0.0823722
ft	0.0816644
wn	0.0789876
nu	0.0786445
af	0.0742073
hu	0.0736928
nn	0.0727647
eo	0.0725005
vo	0.0711072
rv	0.0692833
nf	0.0671807
xp	0.0668638
gn	0.0656391
sm	0.0651990
fl	0.0649049
iz	0.0643398
ok	0.0643118
nl	0.0637839
my	0.0621864
gl	0.0606368
aw	0.0599163
ju	0.0587024
oa	0.0574861
eq	0.0572520
sy	0.0568447
sl	0.0558807
ps	0.0545712
jo	0.0537897
lf	0.0534769
nv	0.0520071
je	0.0518875
nk	0.0516055
kn	0.0514388
gs	0.0511932
dy	0.0504227
hy	0.0500891
ze	0.0497326
ks	0.0475089
xt	0.0466605
bs	0.0458324
ik	0.0429127
dd	0.0427515
cy	0.0417186
rp	0.0416199
sk	0.0394647
xi	0.0394183
oe	0.0386307
oy	0.0361813
ws	0.0350841
lv	0.0349059
dl	0.0323403
rf	0.0322604
eu	0.0311527
dg	0.0310033
wr	0.0307612
xa	0.0296010
yi	0.0288197
nm	0.0277495
eb	0.0270736
rb	0.0267122
tm	0.0264791
xc	0.0264598
eh	0.0263237
tc	0.0261363
gy	0.0259400
ja	0.0258615
hn	0.0257580
yp	0.0249143
za	0.0249037
gg	0.0247547
ym	0.0236749
sw	0.0235282
bj	0.0232245
lm	0.0230209
cs	0.0228230
ii	0.0227823
ix	0.0220320
xe	0.0217946
oh	0.0213544
lk	0.0197145
dv	0.0190527
lp	0.0190305
ax	0.0188394
ox	0.0185754
uf	0.0185323
dm	0.0181767
iu	0.0174090
sf	0.0171645
bt	0.0171039
ka	0.0169558
yt	0.0166839
ek	0.0164718
pm	0.0159562
ya	0.0157658
gt	0.0154026
wl	0.0152212
rh	0.0151116
yl	0.0147565
hs	0.0146842
ah	0.0136433
yc	0.0135006
yn	0.0132142
rw	0.0127574
hm	0.0127432
lw	0.0126389
hl	0.0125919
ae	0.0123965
zi	0.0121174
az	0.0118691
lc	0.0118219
py	0.0117638
aj	0.0117526
iq	0.0113038
nj	0.0110864
bb	0.0109331
nh	0.0108837
uo	0.0106567
kl	0.0105698
lr	0.0100513
tn	0.0100107
gm	0.0098581
sn	0.0091750
nr	0.0091517
fy	0.0090981
mn	0.0087901
dw	0.0081624
sb	0.0079163
yr	0.0077916
dn	0.0075694
sq	0.0074439
zo	0.0071810
oj	0.0069759
yd	0.0068180
lb	0.0066903
wt	0.0065414
lg	0.0060879
ko	0.0060761
np	0.0060357
sr	0.0059899
nq	0.0059500
ky	0.0059497
ln	0.0058698
nw	0.0057970
tf	0.0056612
fs	0.0055095
cq	0.0054745
dh	0.0054384
sd	0.0052586
vy	0.0048972
dj	0.0047819
hw	0.0047742
xu	0.0047711
ao	0.0046262
ml	0.0046065
uk	0.0046041
uy	0.0045673
ej	0.0045465
ez	0.0045232
hb	0.0043898
nz	0.0043691
nb	0.0043359
mc	0.0043123
yb	0.0042991
tp	0.0042945
xh	0.0041714
ux	0.0039348
tz	0.0038490
bv	0.0038439
mf	0.0038183
wd	0.0035383
oz	0.0034722
yw	0.0033717
kh	0.0031852
gd	0.0031595
bm	0.0031291
mr	0.0031061
ku	0.0030257
uv	0.0029171
dt	0.0028957
hd	0.0028565
aa	0.0028299
xx	0.0028042
df	0.0027786
db	0.0027730
ji	0.0027627
kr	0.0027217
xo	0.0026988
cm	0.0026650
zz	0.0026603
nx	0.0026209
yg	0.0025926
xy	0.0025764
kg	0.0025630
tb	0.0025445
dc	0.0025191
bd	0.0024741
sg	0.0024680
wy	0.0024247
zy	0.0023575
aq	0.0022444
hf	0.0022432
cd	0.0022310
vu	0.0022125
kw	0.0021782
zu	0.0021525
bn	0.0020947
ih	0.0020913
tg	0.0019691
xv	0.0019533
uz	0.0019106
bc	0.0018895
xf	0.0018575
yz	0.0018122
km	0.0017892
dp	0.0017327
lh	0.0016187
wf	0.0016077
kf	0.0015874
pf	0.0014549
cf	0.0014081
mt	0.0013668
yu	0.0013277
cp	0.0013146
pb	0.0013087
td	0.0012959
zl	0.0012575
sv	0.0012415
hc	0.0012282
mg	0.0012249
pw	0.0012071
gf	0.0012045
pd	0.0011987
pn	0.0011894
pc	0.0011759
rx	0.0011700
tv	0.0011635
ij	0.0011109
wm	0.0010899
uh	0.0010674
wk	0.0010674
wb	0.0010614
bh	0.0010568
oq	0.0010366
kt	0.0010332
rq	0.0009984
kb	0.0009010
cg	0.0008858
vr	0.0008760
cn	0.0008600
pk	0.0008192
uu	0.0007805
yf	0.0007535
wp	0.0007442
cz	0.0007306
kp	0.0007268
dq	0.0007067
wu	0.0006952
fm	0.0006859
wc	0.0006741
md	0.0006713
kd	0.0006701
zh	0.0006661
gw	0.0006476
rz	0.0006381
cb	0.0006296
iw	0.0006246
xl	0.0005933
hp	0.0005921
mw	0.0005839
vs	0.0005768
fc	0.0005765
rj	0.0005532
bp	0.0005471
mh	0.0005332
hh	0.0005224
yh	0.0005207
uj	0.0005159
fg	0.0005116
fd	0.0004953
gb	0.0004946
pg	0.0004736
tk	0.0004640
kk	0.0004533
hq	0.0004229
fn	0.0004193
lz	0.0004173
vl	0.0004121
gp	0.0004119
hz	0.0003805
dk	0.0003367
yk	0.0003296
qi	0.0003176
lx	0.0003054
vd	0.0002990
zs	0.0002978
bw	0.0002951
xq	0.0002917
mv	0.0002898
uw	0.0002775
hg	0.0002763
fb	0.0002742
sj	0.0002703
ww	0.0002616
gk	0.0002603
uq	0.0002566
bg	0.0002555
sz	0.0002497
jr	0.0002428
ql	0.0002379
zt	0.0002350
hk	0.0002339
vc	0.0002330
xm	0.0002330
gc	0.0002289
fw	0.0002288
pz	0.0002263
kc	0.0002244
hv	0.0002232
xw	0.0002232
zw	0.0002227
fp	0.0002221
iy	0.0002216
pv	0.0002207
vt	0.0002192
jp	0.0002174
cv	0.0002082
zb	0.0002078
vp	0.0001954
zr	0.0001887
fh	0.0001832
yv	0.0001814
zg	0.0001676
zm	0.0001672
zv	0.0001638
qs	0.0001578
kv	0.0001566
vn	0.0001531
zn	0.0001525
qa	0.0001524
yx	0.0001494
jn	0.0001472
bf	0.0001457
mk	0.0001403
cw	0.0001386
jm	0.0001298
lq	0.0001271
jh	0.0001256
kj	0.0001231
jc	0.0001223
gz	0.0001217
js	0.0001181
tx	0.0001181
fk	0.0001168
jl	0.0001132
vm	0.0001127
lj	0.0001124
tj	0.0001124
jj	0.0001057
cj	0.0001050
vg	0.0001050
mj	0.0001037
jt	0.0001035
pj	0.0000997
wg	0.0000976
vh	0.0000954
bk	0.0000936
vv	0.0000930
jd	0.0000927
tq	0.0000893
vb	0.0000885
jf	0.0000859
dz	0.0000780
xb	0.0000768
jb	0.0000754
zc	0.0000745
fj	0.0000733
yy	0.0000707
qn	0.0000660
xs	0.0000640
qr	0.0000619
jk	0.0000617
jv	0.0000610
qq	0.0000607
xn	0.0000572
vf	0.0000550
px	0.0000523
zd	0.0000502
qt	0.0000491
zp	0.0000483
qo	0.0000470
dx	0.0000460
hj	0.0000455
gv	0.0000423
jw	0.0000413
qc	0.0000400
jy	0.0000397
gj	0.0000388
qb	0.0000384
pq	0.0000381
jg	0.0000367
bz	0.0000357
mx	0.0000353
qm	0.0000351
mz	0.0000344
qf	0.0000336
wj	0.0000324
zq	0.0000324
xr	0.0000322
zk	0.0000322
cx	0.0000311
fx	0.0000288
fv	0.0000286
bx	0.0000276
vw	0.0000263
vj	0.0000257
mq	0.0000251
qv	0.0000225
zf	0.0000216
qe	0.0000203
yj	0.0000199
gx	0.0000198
kx	0.0000197
xg	0.0000192
qd	0.0000184
xj	0.0000181
sx	0.0000179
vz	0.0000178
vx	0.0000160
wv	0.0000138
yq	0.0000136
bq	0.0000123
gq	0.0000123
vk	0.0000120
zj	0.0000110
xk	0.0000100
qp	0.0000097
hx	0.0000094
fz	0.0000094
qh	0.0000093
qj	0.0000084
jz	0.0000078
vq	0.0000075
kq	0.0000066
xd	0.0000060
qw	0.0000058
jx	0.0000057
qx	0.0000057
kz	0.0000053
wx	0.0000053
fq	0.0000053
xz	0.0000048
zx	0.0000038
jq	0.0000001
qg	0.0000001
qk	0.0000001
qy	0.0000001
qz	0.0000001
wq	0.0000001
wz	0.0000001
